Video#,Comments,Language,General evaluation,Aspect(s) of evaluation,Quotes,Notes
3,I loveeeeee rosé accent i wish i can speak like her,1,a,G,,
3,"Jennie's accent is leaning towards American accent except words ending in ""R""s",1,a,PF,,
3,Jennie seems to have two accents when speaking English her Australian accent is watered out by her Korean accent when she speaks.,1,b,NA,,
3,"when you listen carefully, you can hear a mix of accents in jennie's english. She has the kiwi accent, but i think she lost a bit of fluency when she moved back to korea, because if you listen carefully the accent is detectable and she also sounds like an american sometimes lmao",1,b,NA,,
3,"Rose is simply more fluent, like I’m pretty sure she actually knows more English than Korean. Jennie’s native language, however, is still Korean, which is why she’s not as strong as Rose in English.  Rose is a native English speaker that’s good at Korean, Jennie is a native Korean speaker that’s good at English. That’s the difference",1,a,NA,,
3,Rose speaking in English like british but I don't know I really like Jennie,1,b,G,,
3,"Rosé is Aussie so she has an Australian accent; some people think British and Aussie accents sound alike but once you hear them both alot, you can spot the difference!",1,b,NA,,
3,British?. I did say rosé aussie jennie British(kiwi) lace with American accent. I belive rosé is no where british,1,b,NA,,
3,I find Jennie‘s kiwi accent to be very pretentious because she was only in New Zealand for 5 years and lived in Seoul for 19 to 18 years. She obviously knows how to speak English without the accent. Also I believe her accent isn’t truly kiwi anymore since she has live outside of the country for so long she would lose the authentic dialect.,1,c,NA,,
3,Rose got very strong accent But jennie got special ability to mix australian accent when ever she wants And rose kind a have canadian accent too lol  Im not saying their english is bad lol,1,b,NA,,
3,Jennie: “wa - ter” Rosé: “wa - ta”,1,b,PF,,
3,Jennie's accent are sometimes british and im not complaining about it,1,b,NA,,
3,"로제 진짜 제 롤모델,, 정말 비단뱀같은 느낌이라서 너무 머쪄ㅠㅠ 한국어로 말할때랑 영어로 말할때랑 느낌이 정반대라서 더 매력적인듯

T: Rosé is really my role model... It feels like a python, so it's so cool. It's more attractive because the feeling is completely opposite when speaking in Korean and English",2,a,a,,
3,"개인적으로 로제가 영어 롤모델인듯...진심 버터발음 갖고싶어짐 특히,영어로 할떄랑 한국어로 말할 떄랑 갭차이 가 ㅎㄷㄷ

T: Personally, I think Rosé is an English role model. I really want to have butter pronunciation. Especially, there is a gap between speaking in English and Korean",2,a,c,,
3,"와 진짜 완벽하다 얘네는 진짜 공주가태;

T: Wow this is perfect, they are like princess",2,Off-topic,,,
3,"jennie's accent is really mixed hahaha sometimes british, kiwi, american, korean too",1,b,NA,,
3,"Sorry to this channel, usually fans debating about who speak english better but in blackpink fans debating who use english accent better, whos win? this just about bias things you know, the important is they fluent in english with clear pronounciation when they speak so everyone can understand not just simply english conversation, rose clear she comfortably speak in english because half of her grown up is in western country, but jennie not lose anyway even though she just 5 years in new zealand but her english skill not lost but excellent without focus to one accent because she's korean who no need excel somekind of accent",1,a,COM,,
3,"둘 다 영어 잘해서 개멋있다.  영어 잘하는 사람 ㅈㄴ 멋있어

T: Both of them are so cool because their English is so good, People who are good at English is fucking cool ",2,Off-topic,Bilingualism? ,,
3,I think jennie's accent sounds Korean and a little bit british,1,b,NA,,
3,I wanna have Jennie's accent but I think that was very difficult :'(,1,a,G,,
3,"너무 멋져요 영어를 배워야겠다는 생각이 드는 영상이네요

T: It's so cool. It's a video where I feel like I need to learn English",2,Off-topic,"*Metalinguistic comments 
From a perspective of SLA ",,
3,"헐 로제처럼 발음하고싶당...멋있어

T: I want to pronounce it like Rosé... It's cool",2,a,c,,
4,"They both are very articulate! Especially considering the fact that she lived aboad for only 5 years, It is really surprising",1,a,"b
SP",,
4,"Being able to speak in English does not equate to being articulate. Being articulate is being able to put into words the thoughts very well.   Both Rosé and Jennie are good English speaker. Rosé being fluent while Jennie being above average.  But between the two, Rosé is more articulate. If you listen to her interviews, you'll hear how she puts her thoughts into words very well without tension or nervousness. She is a great conversationalist. Very well-spoken and smart.   I'm not saying that Jennie is not articulate but everytime Jennie is interviewed in English or Korean, her nervousness can be felt. Sometimes she gets overwhelmed that she sometimes cannot formulate a great answer to a question.",1,a,SP,,
4,"Exactly! Part of the Jennie's Englis is atrributed to the fact that she's always with Rose', It probly gave her a chance to use it more often. Maybe, the other way round is the same Its lovely that they affect each other",1,Off-topic,,,
4,Having English as her native tongue helps her vocabulary. But having vocabulary is attributed to being a wide reader. Rosé loves reading so she gets to widen her vocabulary.,1,Off-topic,,,
4,We all love Aussie accent! It sounds jus so cool. It's fun to know that they affect eachother,1,a,"a
b",,
4,Right? I was so surprised by that her voice is so attractive in both languages,1,a,a,,
4,her voice is truely something else when speakin English,1,a,a,,
4,"They both are amazing , so elegant with the choice of words",1,Off-topic,,,
4,I think jennie sounds Korean and a little bit british,1,b,b,,
4,"Jennie's accent sounds more North American, sometimes drifting into Kiwi.",1,b,b,,
4,It’s so odd but Lisa does have an American accent must be how they enunciate in her native tongue blends with how American’s pronociation.,1,b,b,,
4,yeah she started to learn English when she went to school. Her mindset was built in English. She said she couldnt speak much Korean when she first came there and Jennie spoke English to her to help her blend in better. When BP started to do global promotions I was surprised that she’s more confident and attractive when she speaks English compared to Korean.,1,a,a,,
4,"They are both so talented , charming , ugggh... its like the whole package",1,Off-topic ,,,
4,They both are so amazing in their own way,1,Off-topic ,,,
4,Yes her English has everything we wished for someone to have,1,Off-topic ,,,
4,"Just so amazed by that, right?",1,Off-topic ,,,
4,omg her English is just perfect,1,Off-topic ,,,
4,Yeah ikr her kiwi accent was way stronger debut/predebut!! Lmaoo,1,b,b,,
4,Ohhh will definitely do videos on her sooo articulate  thankx for giving me chance to see Strange Things tho,1,Off-topic ,,,
4,Right??? That alone deserves an award,1,Off-topic ,,,
4,"The same herethe more I listen to New Zealand accent, the more I get fascinated by it",1,Off-topic,,,
4,I COULD LISTEN TO HER MURMUR FOREVER,1,Off-topic ,,,
4,"aside from the fact that she's native, her accent is something else",1,a,b,,
4,That is something to die for,1,Off-topic ,,,
4,Me too! Was shook to see Jennie was so versatile,1,Off-topic ,,,
4,"Me too, she doesnt even have to make sense",1,Off-topic ,,,
4,I know so freakin natural too! Oh my god!!!,1,Off-topic ,,,
4,her accent is very sticky and lovely,1,a,a,,
4,Shes got this Aussie vibe when she switch back to English which is so cool to watch,1,a,b,,
4,I was so shook when I first heard it!! So elegant,1,Off-topic ,,,
4,agreed on this! There are times her kiwi accent shines they never dissapeared,1,a,b,,
4,Its on fireeee,1,Off-topic ,,,
4,Her accent is pure gold,1,a,,,
4,Her voice is legendary,1,Off-topic ,,,
4,Even her washed out accents are so adorable in some way,1,a,a,,
4,I would say a mix between kiwi and British accent,1,Off-topic,,,
4,she doesn’t have an American accent but it’s hard if you don’t listen carefully to distinguish the two. But while we’re on the topic did she live in America at all or did she just listen to a lot of American music.,1,b,b,,
4,"Well, possibly!! Her accent is really faded a bit!",1,b,,,
4,"I understand your point, but there are really people who could have the accents even living in the country for a long time (most people don’t, I agree). One of my friend, she just lived in Manchester for 2 years and she still had their acc. I’ve read from a book that the kids who live in a foreign country will tend to keep their acc easier (but ofc it will also fade acc to the study), but not as much as the adults or teens who went abroad when they were older",1,Off-topic ,,,
4,"I’m not sure why my comments aren’t showing up. But in regards to Jennie’s accent some people think her current accent sounds Kiwi or British but it actually doesn’t. Her current accent is a hybrid of Korean, American English that she probably picked up from Yg staff and possibly friends. And also faded remnants of a past exposure to kiwi dialect. But to say her accent is truly kiwi or British or even American would be false, currently it’s just a hybrid of different accents and not actually authentic to any.",1,c,b,,
4,"thank you for your insights and thoughts This is not to make battle between them since they are both so perfect. rather, we should learn different great aspects from their English",1,Off-topic ,,,
4,I guess kiwi accent is a bit difficult,1,Off-topic,,,
4,"rm은 미국 영어를 구사하는데 영국에선 영국 영어하고 호주에선 호주 영어하는 등 나라마다 바꿔서 하는거 센스있는 거 같음 실제로 영국, 호주 악센트를 잘 하진 못하더라도 그 나라 팬들은 조금이라도 좋아할 수 있음

T: Rm speaks American English, but I think it's sensible to change it from country to country, such as British English in the UK and Australian English in Australia. In fact, even if you are not good at accents of the UK and Australia, your fans in those countries may like it even a little bit",2,b,b,,
4,"Joshua has the most soothing voice ever I've listen to, both korean and english",1,Off-topic ,,,
4,Shua's voice always give this soothing effect and it's always calming. ❤️,1,Off-topic ,,,
4,"Rosé and Jennie while performing on stage, they are very charismatic but while having conversations, are very cute. Specially, when they speak English, they speak with elegance. Every time, Mark speaks English, not only fans but his members also fall for me. Look at Kai 1:40 1:50 And also Wendy, apart from her singing, I love how she speaks English. Luvies, Stream Queendom.",1,a,a,,
4,"I admire RM so much. His American accent is so authentic and he always speaks about deep subjects, yet he does it so eloquently. Many Americans, unfortunately, don’t have the vocabulary that he has.",1,a,"a
b
SP",,
4,I really want ROSÉ Australian accent. She sounds elegant and friendly at the same time when she speaks in English with her accent.,1,a,"a
b",,
4,ROSÉ the eloquent Queen ❤❤Her accent is the best ❤,1,a,"a
SP",,
4,I melt when I hear Rosé speaking English. Her voice in korean is also pretty but her Australian accent + her voice tone 🤤,1,a,"a
b",,
4,"내가 아미여서가 아니라.. 남준옵은 한국인인데도 영어는 정말 잘해.....!!!!

T: This is not because I'm an ARMY... RM is so good at English although he's Korean ",2,Off-topic ,,,
4,"아닝 남주닝 개 대단한거 아님? 유학파도 아닌데 영어 개잘해

T: Isn't RM awesome? He didn't study abroad but he's so good at English ",2,Off-topic ,,,
4,Joshua's accent in English is a chefs kiss .,1,a,a,,
4,"남준이는 유학간것도 어닌데 영어, 공부도 잘하고 아이큐 148에다가 전국 1%.. 와ㄷㄷ천재구나

T: Namjoon is good at studying English without studying abroad and studying well, with an IQ of 148 and 1% nationwide... Wow, he is a genius",2,Off-topic ,,,
4,I REALLY REALLY LIKE WENDY'S VISUAL IN DEBUT ERA Her voice is also fit to be dubber,1,Off-topic ,,,
4,"채영이가 (로제) 갑이지 호주원조 발음 개 쫀득 하니 영어하니까 듣는사림도 기분이 정화됨 로제 특유의 목소리+로제 호주 발음=완벽쓰

T: CHAEYOUNG is the best. The original Australian pronunciation is so chewy that I can feel refreshed when I speak English. Rose's unique voice + Rose's Australian pronunciation = perfect",2,a,"a
b",,
4,Rosé's naur is iconic.,1,a,e,,
4,"영어 발음... 쩔지.. 쩔어... 남준이 영어 발음 영상 보면서 열심히 공부 해야지...!! 영국에선 영국 발음, 호주에선 호주 발음, 일본에서 일본어 발음 당신은 천재입니다 진심. 남준쒜가 천재가 아니라고 반박 할시 김남준 내꺼💖 유학 한번도 안 간 남준이를 보면 '나도 노력하면 할 수 있구나'를 다시 느낌

T: English pronunciation... Awesome... Awesome... I need to study hard while watching Namjoon's English pronunciation video...! British pronunciation in the UK, Australian pronunciation in Australia, and Japanese pronunciation in Japan. You are a genius. If you refute that Namjoon-Swe is not a genius, Nam-Jun is mine 💖 When I see Nam-Jun who has never studied abroad, I feel 'I can do it if I try hard' again",2,a,"b
c",,
4,"남준 오빠 영어 발음 개섹시해 ㅠㅠㅠㅠㅠㅠㅠㅠ

T: Namjoon's English pronunciation is so sexy ",2,a,a,,
4,"진짜 rm 님 영어 발음이 너무좋아요. 완전 외국사람처럼 영어 너무 잘하세요.

T: Mr. Rm, your English pronunciation is so good. Like a foreigner, you are so good at English.",2,a,b,,
4,"손승완(웬디) 연말 수상소감 말할때마다 마지막에 영어로 쏼라쏼라할때 발음 미치겠다ㅠㅠㅠㅠ 여윽시 유학파 오바마상 수상자랄까.. ㅈㄴ자랑스럽다

T: Whenever Son Seung-wan (Wendy) says her year-end award speech in English at the end, her pronunciation is crazy. Of course, she received an award from the Obama award, I'm so proud of her",2,a,a,,
4,"RM 영어할때 간지 철철💜

T: RM, when you speak English, you're so cool. 💜",2,a,a,,
4,"Also Felix and Bang Chan from Stray Kids, both from Sydney, Australia have lovely accents! Even the other members have got some accent because them!",1,a,b,,
4,"when rose was on king of masked singer, her very unique accent gave her away from her very first song, which was in english. i knew it within 5 seconds that it had to be her from that accent.",1,a,,,
4,"로제, 제니 발음 완전 매력적이야❤

T: Rosé and Jennie's pronunciation is so charming. ❤",2,a,a,,
4,"I hope we can see part 2 of this since there are still some idols who speak in English in different accents so yeah. Anyways, great video as always. Keep them coming.",1,Off-topic ,,,
4,"RM미쳤구요 발음 너무 멋짐

T: RM is crazy, his pronunciation is so cool ",2,a,a,,
4,Rosé sounds so sophisticated,1,Off-topic,,,
4,"랩몬은 유학간것도 아닌데 영어 ㅈㄴ 잘하던데? 얘보고 한국인도 노력하면 할수 있다는걸 보여줬다

T; Rap Mon didn't even go abroad to study, but he was good at English. He showed me that Koreans can do it if they try hard",2,Off-topic ,,,
4,Rosé speaks in an Australian accent,1,b,b,,
4,ROSIE 's accent is soo ELEGANT and MAGESTIC..its chef's kiss,1,a,a,,
4,I'm inlove with rosé's Australian accent❤️,1,a,b,,
4,"로제 영어발음 사랑해.... 어쩜 저렇게 매력있지

T: Rosé, I love your English pronunciation. How can you be so charming",2,a,a,,
4,"Although this video doesn't include idols such as Bang Chan and Felix from Stray Kids, Vernon from Seventeen, Jae from DAY6, etc but this is a pretty decent analysis. Thank you Doyouram!",1,Off-topic ,,,
4,"정말 영어 발음은 어릴때부터 하는게 좋은듯... 나도 외국 한번 못가본 토종 한국인 이지만 어릴때부터 부모님께서 영어 노래 많이 들려주시고 팝송이라든지 미드랑 영어권 나라의 영화 같은 것 들을 많이 틀어주시고 들려주셔서 현재 영어 실력은 그리 좋은편에 속하진 않지만 원어민인 선생님들께 외국에서 살다 왔냐는 질문도 많이 받아볼 정도로 발음이 괜찮은 편임 그냥 자랑 반 팁 반 해서 끄적여봤음....힛

T: I think it's good to pronounce English from a young age. I'm a native Korean who's never been abroad, but my parents played a lot of English songs, pop songs, or movies from American and English-speaking countries. I'm not that good at English now, but I've been asked a lot by native English teachers if I've lived abroad. I've just taken a half-proud, half-tip, and written it down",2,Off-topic ,,,
4,when my both ultimate bias Rose and Wendy be mention in a video I click in !!! I really like when they talk in English !!!,1,Off-topic ,,,
4,"울 웬디영어발음은 거의예술이죠

T: Wendy's English pronunciation is almost like an art",2,a,a,,
4,"Yoohyeon from Dreamcatcher speaks English like a native speaker and has the cutest accent. The first time I heard it, I didn't know she could speak English, I thought my phone closed vlive and started a YouTube video.",1,a,"a
b",,
4,"마크가 영어로 말할때 그 조음이….. 넘 좋다 완전 힐링…….

T: When Mark speaks in English, the articulation..... It's so nice. It's so healing…….",2,a,SP,,
4,RM my language genius... Sexy brain idol for a reason..!!,1,Off-topic ,,,
4,"마크는 목소리랑 딕션이 일단 대박 사기라...

T: MARK's voice and diction are amazing...",2,a,a,,
4,"눈감고 마크 영어 인터뷰 영상만 한시간짜리 듣고 싶은 그런 목소리와 딕션이긴하죠!

T: I want to close my eyes and listen to MARK's English interview video for an hour. That's the kind of voice and diction you want to hear!",2,a,a,,
4,"웬디 발음 짱짱!! 부럽다 ㅠㅠ

T: Wendy's pronunciation is the best! I'm jealous",2,a,,,
4,You also need to put Vernon from seventeen here... The way he speaks in English really on the next level,1,a,,,
4,"Sadly we didn't have enough room to fit everyone we wanted to fit in one video, but you're right! I love his voice, his accent, his eloquence,.. EVERYTHING!! 😆",1,a,SP,,
4,"김남준은 진짜 대단한듯 한국인인데다가 발음도 오짐

T: Kim Namjoon is really amazing. He's Korean and his pronunciation is awesome",2,a,b,,
4,"우리 로지💕 쫀득한 발음 어쩔거야,,,ㅠㅠ

T: Rosie 💕 What should I do with the chewy pronunciation",2,a,,,
4,"우리 조슈지 발음 캡이쥐~~허당미 있다가 영어하면 심쿵💘

T: Our Choshuji pronunciation cap! Your heart flutters when you speak English after being sloppy. 💘",2,a,,,
4,"조슈아 진짜 영어할때 미침 진짜 그 보석같은 얼굴에다가 영어까지 잘해봐..😻🤍

T: Joshua, when you speak English, you're crazy. You have such a jewel-like face and you're good at English. 😻🤍",2,a,,,
4,"제니하고 로제 발음 대박❣️

T: Jennie and Rosé's pronunciation is amazing. ❣ ️",2,a,,,
4,I wanted Rose's accent but I want Wendy's vocals,1,a,,,
4,"로제 발음 진짜 치인다 치여...

T: I am literally being hit by Rose's pronunciation ",2,a,a,,
4,Also Enhypen's Jake speaks with a beautiful Australian accent ❤️✨,1,a,b,,
4,"조슈아 발음 진짜 극락가기 지름길...ㅠㅠㅠ

T: Joshua's pronunciation is actually a shortcut to the heaven",2,a,,,
4,"한국에서만 살았었는데도 진짜 원어민처럼 영어쓰는 RM 대다나당...!

T: RM speaks English like a native speaker although he's only lived in Korea...!",2,a,b,,
4,"우리마크는 한국어할때랑 영어할때완전 달라짐 한국어할때는 애옹이그자체인데 영어할때는또 유학생선배느낌임

T: Mark is completely different when he speaks Korean and English. When he speaks Korean, he's the cat, but he's like an international senior student when he speaks English ",2,a,a,,
4,Rosé accent is the sexiest and prettiest one,1,a,a,,
4,I love Rosie accent..,1,a,,,
4,I think you forgot to include BTOB's Peniel and NU'EST's Aron. I would encourage you guys to watch DIVE Studios Get Real and watch Aron's conversation with the host. It feels like he talks like a news anchor. Too sad that he didn't pursue journalism in the states...,1,Off-topic ,,,
4,Bae173 Nam dohyon can speak with British accent fluently since he used to study at a british school when he was young,1,a,b,,
4,"Joshua with ""valley girl accent"" ☠️☠️☠️😭",1,b,b,,
4,So adorable!!!! 😆,1,Off-topic ,,,
4,"울 슈아 ㅠㅠㅠㅠㅠ 발음미쳤다...❤

T: Our Joshua (crying) his pronunciation is crazy ",2,a,,,
4,"웬디 거의 원어민 발음이죠......

T: Wendy has almost a native speaker's pronunciation ",2,a,b,,
4,"모국어 할 때 제일 멋있는 캐나다인 이막꾸.. ♥︎

T: Canadian Mark Lee, who is the coolest one when he speaks his native language ",2,a,"a
b",,
4,"우리 조슈아 다들 한국인인줄 알던데... 명백한 미국인입니다!! 영어 발음 개미쳐써!!

T: Everyone thought Joshua was Korean... He's clearly American!! His English pronunciation is crazy!! ",2,a,b,,
4,"Idols who speak fluent English : Shin Jiyoon of Weeekly, who taught herself the language.",1,a,d,,
4,"슈아 목소리 개 멋있어

T: Joshua's voice is so cool",2,Off-topic ,,,
4,"조슈아❤️미모가 남다르네요❤️목소리 좋아요🥰

T: Joshua ❤️ Your beauty is extraordinary. ❤️ Your voice is good. 🥰",2,Off-topic ,,,
4,"발음까지 완벽...☆

T: Even pronunciation is perfect ",2,a,,,
4,"젠챙 발음 미쳐따❤️

T: Jen and Cheng's pronunciation is crazy ",2,a,,,
4,"이마크 한국어 하면 애옹이다가 영어하면 진짜 댕멋있고 말도 센스있게 해서 내가 사랑함

T: Mark Lee is such a cat when he speaks Korean but he's such a cool guy and his speech is so witty when he speaks English, so I love him ",2,a,a,,
4,another attractive english speaker that got my attention is vernon from seventeen,1,Off-topic ,,,
4,Oh totally! His English sounds soooo sexy!! 😆,1,a,a,,
4,"이 영상 보고 갑자기 영어 공부하는중.. 나도 저렇게 유창하게 영어 하고싶다..

T: I am suddenly studying English after watching this video. I want to speak English so fluently..",2,Off-topic ,"*Metalinguistic comments 
From a perspective of SLA ",,
4,"I know Wendy went to school in suburban Toronto and she sounds exactly like the way she should sound like, LOL.",1,b,b,,
4,"젠틀섹시 조슈아…영어할 때 더 잘생겨짐

T: Gentle sexy Joshua...Becoming more handsome when speaking English",2,a,a,,
4,"슈아의 귀를 녹여버리는 영어발음 빠질 수 없죠!

T: We can't miss Joshua's English pronunciation, which melts everyone's ears!",2,a,a,,
4,Australian accent and stylish in the same sentence never thought I would hear that??,1,a,"a
b",,
4,"손승완 영어 개설레... 발음에 치인다

T: Son Seungwan's English... I'm getting hit by the pronunciation",2,a,a,,
4,"블핑 영어하는거 보고 개깜짝 놀랐는데 진짜 거의 원어민급임 ㄷ

T: I was really surprised to see BLACKPINK speaking English. It's almost like a native speaker",2,a,b,,
4,"이마크 영어할 때마다 설레….

T: Every time MARK speaks English, my heart flutters….",2,a,a,,
4,"젠챙 영어발음이 국보다 난 갠적으로 제니 영어 발음 엄청 좋아함 💖💖

T: Jen-Chaeng's English pronunciation is a national treasure. Personally, I really like Jenny's English pronunciation 💖💖",2,a,,,
4,i don’t think Mark lived long enough in New York for New Yorkisms to rub off on him lol. he seems very Vancouverite to me,1,Off-topic,,,
4,"항상 이런 발음영상 영어하는 영상 보면 저도 이렇게 하고 싶은데 저에게 영어는 너무 어렵네용...

T: Whenever I see English pronunciation videos like this, I want to do it like this, but English is too difficult for me...",2,Off-topic,,,
4,"Rosé와 Jennie의 영어는 너무 비싸게 들린다.

T: Rosé and Jenny's English sounds too expensive.",2,a,a,,
4,"전 그릏게 로제 영어 발음이 좋더라고요...목소리 때문에 그런 거일 수도 있는데 비단뱀같은 발음이야..

T: I really like Rosé's English pronunciation... Maybe it's because of her voice, but she sounds like a python..",2,a,a,,
4,"난 로제 알엠 발음이 제일 좋은 것 같음.. 로제는 뭔가 녹는 목소리에 호주 발음이 섞여있으니까 되게 힐링되는 느낌이 있고 알엠은 듣기평가 재질..?임

T: I think Rosé and RM's pronunciation is the best. Rosé's melting voice and Australian pronunciation are mixed, so it feels very healing. And RM's pronunciation is like listening test material..",2,a,"a
b",,
4,"자유로우면서도 멋있네.

T: It's cool and natural ",2,Off-topic ,,,
4,"진짜 슈아보면서 영아 발음이나 고쳐야지...

T: I will fix English pronunciation while watching Joshua",2,a,c,,
4,"슈아 영어할때 목소리 너무 멋지죠 ㅎ

T: Joshua's voice is so cool when he speaks English ",2,a,a,,
4,Joshua accent waaaaaa,1,a,,,
4,"이마크.. 영어할 땐 존나 섹시해

T: Mark Lee.. he's damn sexy when he speaks English ",2,a,a,,
4,"RM은 점진적으로 발전하는 모습도 보이는데 그 말투가 막 어디 한쪽에 치우친게 아니라, 명확한 전달에 초점을 둔 깔끔한 발음인게 인상적임. 이렇게 어디 유학을 다녀온 것도, 외국에서 태어난것도 아닌데 유엔가서 연설을 했다는 것도 자랑스럽고.

T:RM also seems to develop gradually, but it's impressive that his speech style is not biased toward one side but has a neat pronunciation that focuses on clear delivery. I'm proud that he went to the United Nations and gave a speech even though he wasn't born or studied abroad.",2,a,"b
SP",,
4,"쯔위는 영어는 못해도 발음이 좋음

T: Although Tzuyu can't do English, her pronunciation is good ",2,a,d,,
4,Joshua is very californian,2,Off-topic,,,
4,"그저 영어로 말할 뿐인데 왜 섹시한거야 참 나

T: Why is it sexy, it's just speaking English ",2,a,a,,
4,"알림 뜨고 썸네일 보자마자 홍지수가 바로 생각났구먼유 우리 지수가 영어발음이 얼마나 섹시하게요...ㅎㅎ

T: As soon as I saw the thumbnail after the notification came up, I immediately thought of Hong Ji-soo. How sexy is his English pronunciation... lol",2,a,a,,
4,"원어민애들보고 발음 치켜세워주는거 역겹다

T: It's disgusting to see people raise native speakers' English pronunciation ",2,c,b,,
4,"한심하게 영어발음에 목매고 있네

T: It's pathetic that people are hanging on to English pronunciation",2,c,,,
4,"방탄이 영어발음이나 실력이 좋은건 아님 걍 영어할수있다 정도임

T: Bangtan is not good at English pronunciation or skills, they can just speak English",2,c,d,,
4,"진짜 그 나라에 발음을 다 구사할 수 있는게 멋짐..

T: It's really cool to be able to speak all the pronunciations in that country.. ",2,a,,,
4,"Bang Chan is also from Australia...It's on the screen, but...
 Felix's Australian pronunciation is really cool^^
 It's real",1,a,b,,
4,"Rosé speaks English in a low tone, but I like that voice so much.",1,a,e,,
4,"I don't know because they have different charms.But when Rosé first appeared, she was so...Chic... haughty...Career woman 💕",1,Off-topic ,,,
4,Rosé and Felix are really cool. They're relaxed and elegant,1,Off-topic ,,,
4,"Rosé's English is very attractive.From pronunciation to voice, it looks mature and sexy python...",1,a,a,,
4,They both have perfect voices,1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 I know that she lived in Aukland until the age of 7. 
 Her accent tho, has a characteristics of Australia.. Thought it'd be fun to talk about it 🔥 have a good one!",1,a,b,,
4,"릭스오빠는 동굴목소리로 영어하니깐 진짜 그냥 내심장 박살ㅠ 로제언냐는 한국어할땐 귀여운목소린데 영어쓰면 바로 성숙미...

T: Since Felix speaks English in a cave voice, my heart is smashed. Rose sister is a cute voice in Korean, but when she speaks English, she's mature..",2,a,a,,
4,"Thanks to you, I am getting interested in English! I will not be afraid of English and try my best! Thank you",1,Off-topic ,,,
4,"My modeling model is Rosé. Sold!. Actually, I was looking for a female movie star to model, but I was persuaded by two Youngkrit Rose videos :)",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 She is so elegant when she speaks😭💜",1,Off-topic,,,
4,"영크릿l Young Cret
 2 years ago
 His voice is gold🔥",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Haha their contrast is pure gold💕",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Agreed! 🔥they got so beautiful voices💜",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Her accent is too cute💕",1,a,a,,
4,"영크릿l Young Cret
 2 years ago
 It is so unique right? 💜",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Her accent is a bit fade, but really elegant💕",1,a,a,,
4,"rimi 512
 2 years ago
 i am a simple person , i see felix and i click ! btw, i can hear felix's deep voice thick aussie accent all day ! <3",1,a,b,,
4,"영크릿l Young Cret
 2 years ago
 Right??? So cool to hear🔥🔥",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Hes like so versatile🔥🔥",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Its like.... legendary💕",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 So cute and professional🥰💕",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Sooo truee shes like the whole package🔥🥰",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Theyre so different, yet both hella attractive😭🔥😭💕",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Shes definitely on another level so perfect💕💕",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Hes voice is real😭🔥🔥 the coolest voice I heard out of kpop boy bands🔥🔥",1,Off-topic ,,,
4,"영크릿l Young Cret
 2 years ago
 Thats a great ryhme💜",1,Off-topic,,,
4,"영크릿l Young Cret
 2 years ago
 Idk she sounds so natural and amusing to hear💜💜",1,Off-topic,,,
4,"영크릿l Young Cret
 2 years ago
 I could listen to them for ever💕💕",1,Off-topic,,,
4,"영크릿l Young Cret
 2 years ago
 Definitely! Shes so versatile💜",1,Off-topic,,,
4,"sharmila khadka
 2 years ago
 Chaeyoung is the perfect definition of BLACKPINK
 Cute and sexy at a same time
 68
 영크릿l Young Cret",1,Off-topic,,,
4,"진짜 모든걸 다가진.. 로제 최고에요 ㅠㅠㅠ😭🔥

T: Rose is the best (crying) she has the all ",2,Off-topic,,,
